"","Elevation","Aspect","Slope","Horizontal_Distance_To_Hydrology","Vertical_Distance_To_Hydrology","Horizontal_Distance_To_Roadways","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Horizontal_Distance_To_Fire_Points","wildernessArea","soilType"
"1048",3329,346,25,402,102,1777,164,192,161,2949,1,39
"1049",2978,105,26,190,46,1936,253,198,57,2940,3,33
"1050",3180,292,17,30,8,4123,170,234,204,1302,3,22
"1051",2932,273,26,190,105,5148,142,236,228,4836,1,24
"1052",3340,331,20,210,8,1591,167,210,180,1967,2,38
"1053",3219,38,16,162,16,875,218,203,115,1935,2,23
"1054",3234,225,10,272,73,616,207,250,179,2577,2,33
"1055",3094,0,1,242,31,1795,217,236,156,2995,3,32
"1056",3203,232,13,285,35,902,198,251,189,182,3,23
"1057",3067,40,14,390,82,4002,220,208,119,4952,1,20
"1058",3232,155,5,589,70,603,226,240,149,474,3,23
"1059",3150,124,5,300,24,390,229,236,141,5562,2,23
"1060",3126,74,6,124,13,2802,228,228,135,5810,1,29
"1061",3289,350,21,297,55,4468,177,199,157,1253,3,39
"1062",2940,116,9,0,0,2133,236,231,126,3062,3,17
"1063",2711,9,6,277,10,726,213,227,152,1852,1,12
"1064",2815,35,16,95,20,1396,217,204,118,2821,3,24
"1065",3059,22,3,0,0,3700,218,233,153,408,1,20
"1066",3288,329,7,674,13,2259,204,232,167,842,3,22
"1067",3082,17,16,595,301,1055,205,204,132,1320,3,31
"1068",3223,77,11,698,107,2016,234,220,117,2730,3,24
"1069",3058,269,18,67,31,1657,171,244,211,212,3,23
"1070",2970,122,8,90,16,5167,233,234,133,2516,1,29
"1071",3213,251,25,67,12,2197,156,248,223,3261,1,29
"1072",2985,3,12,90,18,1170,204,217,150,875,3,24
"1073",2945,64,29,60,22,2639,231,168,49,2184,3,33
"1074",2712,83,13,0,0,1973,238,216,106,212,3,33
"1075",3090,90,9,258,27,648,235,225,121,1523,3,32
"1076",3050,333,16,42,-4,2639,182,218,175,1426,3,33
"1077",3095,334,22,641,85,2609,163,204,177,1500,3,33
"1078",3217,303,11,30,4,4315,190,235,185,510,3,32
"1079",3071,318,12,277,54,2742,189,229,180,781,1,29
"1080",3079,223,15,459,97,1593,200,253,187,3528,1,29
"1081",3033,37,5,0,0,4734,220,229,146,755,1,19
"1082",3251,280,12,90,21,4425,188,241,193,1530,3,39
"1083",3371,34,14,600,107,2241,217,209,124,2647,2,38
"1084",2673,200,18,42,8,1463,210,253,171,1436,3,4
"1085",2991,74,8,480,-28,1710,230,226,129,1150,3,32
"1086",3034,47,22,258,69,5074,221,185,88,2412,1,29
"1087",3149,93,9,285,16,5470,234,227,125,1833,1,20
"1088",3009,17,11,30,1,1048,211,218,142,2692,3,22
"1089",2738,42,17,67,15,2418,220,201,111,6941,1,20
"1090",3351,104,9,60,-4,4323,235,229,126,3923,3,23
"1091",3052,76,17,90,11,1099,238,207,93,1416,3,23
"1092",3079,84,17,182,26,4722,242,209,92,2907,1,29
"1093",2962,323,17,162,32,1087,175,221,184,2239,1,29
"1094",3020,293,19,335,83,1510,163,232,208,3234,1,22
"1095",3000,15,7,277,23,1342,214,226,149,1651,3,19
"1096",3253,34,17,192,35,1237,215,200,116,1992,2,23
"1097",2930,4,11,708,55,732,206,220,151,1116,3,31
"1098",3266,201,22,402,104,469,204,253,174,1082,1,22
"1099",2916,102,10,190,42,4350,238,226,119,3339,1,29
"1100",3090,34,18,693,171,4434,215,199,114,3719,1,29
"1101",3172,175,6,182,0,4436,223,243,154,2911,1,23
"1102",3289,93,23,297,71,1533,249,198,65,1384,2,33
"1103",3221,282,16,242,67,4645,174,239,205,3439,1,29
"1104",3376,24,14,509,86,2284,212,209,131,1542,3,32
"1105",3092,325,14,210,18,524,185,224,179,908,2,22
"1106",3047,15,25,0,0,2076,189,180,119,3344,1,22
"1107",3116,74,20,150,23,2962,240,197,79,5563,1,29
"1108",3072,138,13,150,15,551,239,235,123,1357,1,23
"1109",3034,220,4,351,99,5943,215,243,165,1714,1,29
"1110",3483,226,23,470,228,3107,182,254,201,616,1,40
"1111",3297,172,14,390,91,1785,228,246,146,1565,3,33
"1112",3278,89,13,42,8,3288,239,219,108,1293,3,22
"1113",3208,307,14,247,36,4615,180,231,191,1537,1,29
"1114",2756,73,6,124,34,1441,228,228,134,2248,1,12
"1115",2682,26,22,446,-41,2911,203,186,110,2550,3,10
"1116",2977,283,13,42,11,60,185,240,195,1020,1,22
"1117",2995,135,15,90,20,2980,242,232,115,6499,1,29
"1118",3618,91,24,1006,333,2477,248,194,61,1279,1,40
"1119",3125,357,4,759,71,2014,213,232,157,2544,3,32
"1120",3137,260,18,268,-9,2554,173,247,210,474,3,32
"1121",3255,320,16,721,37,3568,178,224,185,1233,3,22
"1122",3170,350,14,42,6,4119,194,216,159,1981,3,22
"1123",2952,201,8,182,33,5351,217,247,165,3103,1,29
"1124",3058,56,5,153,2,3842,224,228,140,579,1,23
"1125",2976,79,19,60,15,3144,241,203,85,1050,3,20
"1126",3130,115,11,295,98,2781,239,230,120,3069,1,29
"1127",3065,37,18,30,17,3115,216,198,111,5394,1,29
"1128",2859,14,11,0,0,1064,210,217,144,1785,1,30
"1129",2992,130,8,60,-2,313,234,236,133,924,1,22
"1130",2953,75,20,335,150,350,240,198,80,1452,1,29
"1131",2976,75,5,390,36,1973,227,230,137,768,3,32
"1132",3131,287,6,642,57,1860,204,240,175,2646,3,32
"1133",3220,242,17,391,99,408,186,251,201,642,2,32
"1134",3252,36,10,402,17,2095,219,218,133,1080,3,31
"1135",3003,18,19,277,63,2925,201,197,127,1530,3,33
"1136",3259,268,7,335,56,4433,202,243,179,722,1,39
"1137",3162,45,9,124,20,3055,223,220,131,5124,1,29
"1138",3102,355,17,324,47,1224,190,207,153,153,3,24
"1139",3246,350,15,725,45,1959,192,214,159,547,3,22
"1140",2941,51,15,60,10,5546,226,207,110,1622,1,30
"1141",3288,297,2,541,104,531,213,238,163,1320,2,23
"1142",3015,309,3,30,-1,2942,210,237,165,552,1,23
"1143",3134,44,24,437,208,2022,218,181,86,2657,3,33
"1144",3241,29,12,404,27,3820,216,213,131,3144,1,40
"1145",2808,313,11,30,5,2216,189,231,182,2192,1,20
"1146",3250,144,35,750,29,1507,244,208,61,3332,1,29
"1147",3282,101,11,424,58,1291,239,225,115,2270,1,29
"1148",2844,105,21,95,17,5447,250,209,78,4518,1,29
"1149",3192,292,15,541,68,3631,176,236,199,1317,3,22
"1150",3299,27,14,30,0,1959,213,208,128,4774,2,22
"1151",3271,106,4,212,11,6152,227,234,142,309,1,22
"1152",3037,144,6,618,72,5560,230,239,143,6013,1,12
"1153",3152,53,10,170,16,2871,226,218,126,1134,1,23
"1154",3027,56,19,306,60,4803,229,197,94,1731,1,29
"1155",3167,167,8,67,0,2055,227,243,149,1806,3,23
"1156",3290,167,20,738,174,2643,232,243,133,2525,3,33
"1157",3366,35,13,240,-1,1364,218,211,126,3640,2,35
"1158",3259,343,11,162,31,1565,197,223,164,895,3,31
"1159",3150,49,14,190,13,1536,225,208,114,67,1,22
"1160",3193,156,11,450,39,3104,233,241,138,1073,3,32
"1161",3228,266,9,228,30,3046,197,244,187,1062,3,31
"1162",3101,315,2,60,6,5448,214,237,161,1050,1,20
"1163",3347,311,9,351,49,1587,196,234,177,1844,3,32
"1164",3335,301,10,162,30,3480,193,236,183,1972,3,32
"1165",2970,181,12,216,24,5193,224,247,155,2106,1,29
"1166",3097,328,6,180,38,4622,206,233,166,2436,1,29
"1167",3091,20,13,247,14,1530,210,211,135,1950,3,24
"1168",3191,106,13,451,75,2274,242,224,109,2810,3,24
"1169",3126,51,10,300,36,3532,225,219,127,2779,1,30
"1170",3155,22,10,247,30,2040,214,218,140,2780,3,24
"1171",3240,319,21,182,47,4298,161,216,193,2343,3,32
"1172",2866,319,9,150,31,2781,197,232,175,2097,3,22
"1173",3257,281,11,30,-5,3026,190,241,191,579,3,23
"1174",3050,36,11,242,19,1120,219,216,131,180,3,24
"1175",3165,133,12,90,16,1194,239,234,124,1956,2,23
"1176",3214,350,11,30,5,4313,201,222,160,2010,3,22
"1177",3214,90,8,875,30,1243,232,228,129,2280,3,32
"1178",3109,96,12,480,54,485,239,223,113,1237,3,32
"1179",2578,351,6,258,-7,361,210,230,159,1248,1,9
"1180",3156,359,12,390,39,361,201,217,153,1443,3,24
"1181",3073,120,19,283,98,787,249,220,91,2886,3,33
"1182",3159,346,11,0,0,5166,199,223,162,1034,1,29
"1183",3168,326,3,30,0,582,211,235,163,1266,2,23
"1184",3273,356,19,309,92,1471,187,203,151,2628,1,29
"1185",3205,49,15,446,4,3813,225,206,111,3866,1,23
"1186",3131,59,11,180,31,2402,228,216,119,1664,1,29
"1187",3139,66,9,0,0,2926,229,223,127,5377,1,30
"1188",3345,103,13,612,149,470,241,224,110,350,2,32
"1189",3324,225,8,391,29,1082,210,248,174,1381,3,32
"1190",2955,80,28,85,38,2589,244,179,46,2242,3,33
"1191",3104,49,14,67,2,949,225,208,114,481,3,23
"1192",3048,140,4,467,28,4618,226,238,147,1248,1,29
"1193",3296,207,9,459,69,4036,214,248,169,2239,1,23
"1194",3064,66,11,0,0,2596,231,218,118,1325,3,22
"1195",3161,23,18,42,6,671,206,199,124,2555,1,23
"1196",3319,8,13,382,85,2929,205,214,145,2297,3,38
"1197",3022,229,5,153,25,2580,213,244,169,864,3,32
"1198",2986,292,12,30,15,319,186,238,191,256,2,23
"1199",3371,279,23,484,23,603,152,236,221,1020,2,22
"1200",3114,5,18,497,119,2342,194,201,142,2486,3,24
"1201",3152,60,8,212,39,3820,226,224,132,3208,1,29
"1202",2859,97,19,162,55,175,247,210,85,1254,1,29
"1203",3180,114,9,42,6,2634,236,231,125,2830,1,29
"1204",2924,75,23,391,136,1987,240,191,70,2193,3,33
"1205",3196,52,11,350,37,3120,226,217,124,2821,3,32
"1206",3274,326,5,67,0,1816,206,234,166,1399,3,38
"1207",3063,346,2,0,0,1040,215,235,158,1712,2,23
"1208",3275,65,25,573,133,1398,234,181,65,5103,2,24
"1209",3381,203,30,732,-85,3763,190,250,177,2291,1,39
"1210",3250,345,21,516,99,3132,175,203,163,854,3,24
"1211",3272,270,5,362,38,330,207,241,173,872,3,32
"1212",3003,141,12,339,67,256,238,237,127,1531,1,23
"1213",3176,144,22,319,83,240,244,230,104,3020,2,25
"1214",3204,85,6,60,-2,4944,228,230,136,1813,1,22
"1215",3058,84,29,180,83,2005,246,178,41,3698,1,29
"1216",3231,0,7,525,40,3181,210,228,155,3485,1,40
"1217",2901,287,29,210,130,2258,128,224,229,1369,3,13
"1218",3253,267,4,685,122,1855,209,241,170,2271,3,31
"1219",3189,17,15,592,49,4349,207,208,136,3284,1,29
"1220",3231,141,9,607,56,4293,234,238,134,2591,1,29
"1221",3210,29,21,95,35,4164,207,188,109,1433,1,38
"1222",3244,110,20,283,68,1541,250,214,83,2613,1,30
"1223",3069,38,11,201,26,4860,220,216,129,518,1,29
"1224",3215,215,8,134,11,5607,213,248,171,1065,1,29
"1225",2914,97,6,60,-6,1979,229,232,137,408,3,23
"1226",3280,32,9,700,123,2428,218,221,138,2279,3,38
"1227",3321,180,5,595,0,638,222,243,156,4390,2,38
"1228",3313,283,11,240,38,2707,191,241,190,752,3,22
"1229",3292,24,11,537,92,3677,214,216,137,3978,1,38
"1230",3198,269,9,180,-20,3491,196,244,187,1588,1,22
"1231",3195,11,13,67,14,1801,206,213,143,1650,3,24
"1232",3198,337,12,30,7,4260,194,224,169,1932,3,22
"1233",3275,3,22,30,20,5890,184,192,140,511,1,38
"1234",3078,310,29,301,-25,1190,128,206,211,2871,1,30
"1235",3079,57,8,0,0,5014,226,223,132,2140,1,23
"1236",3394,176,10,720,188,1616,225,246,152,1590,3,32
"1237",2929,59,14,404,3,4751,230,210,110,3263,1,23
"1238",3056,31,4,382,68,2438,219,230,148,2096,3,32
"1239",2747,347,9,0,0,2100,204,226,161,484,3,23
"1240",3529,31,20,789,117,2628,210,192,111,1677,1,40
"1241",2976,7,14,150,-1,5696,202,212,145,2078,1,22
"1242",3155,31,11,437,42,1906,217,215,132,3472,3,31
"1243",3185,50,12,277,43,3007,225,214,121,4425,1,23
"1244",3269,212,15,300,61,1084,206,253,179,666,3,32
"1245",3217,356,14,564,65,1230,197,215,155,2506,2,23
"1246",3125,63,16,899,12,2168,232,207,102,2994,3,31
"1247",3388,106,15,180,38,2938,244,221,102,2058,1,39
"1248",3136,53,10,532,-28,4106,226,218,126,4452,1,23
"1249",3349,195,11,433,70,3516,218,249,164,1498,3,32
"1250",3139,284,14,60,6,3948,180,240,199,1245,3,22
"1251",2855,351,6,0,0,3055,210,230,159,2730,1,23
"1252",3140,138,12,30,2,1243,238,236,127,2483,1,29
"1253",3288,16,16,467,30,1182,204,205,134,598,2,32
"1254",3236,32,13,778,164,1128,216,210,127,1897,3,32
"1255",3204,211,11,361,36,2133,212,250,173,1813,3,31
"1256",2704,38,8,339,2,663,220,222,137,1837,1,12
"1257",2694,225,4,60,0,743,215,243,166,1379,1,12
"1258",3069,255,3,569,-19,2713,213,241,166,957,3,23
"1259",3363,43,22,60,28,3901,219,187,93,1518,1,40
"1260",3210,264,7,85,8,3066,202,244,181,1233,3,23
"1261",3124,295,17,256,82,366,169,233,203,1652,2,22
"1262",3195,348,7,277,23,4535,207,229,160,1560,1,29
"1263",3261,90,12,480,-17,1445,238,221,112,1478,1,29
"1264",2982,96,7,180,17,5114,232,229,129,5903,1,12
"1265",3107,0,2,480,32,1958,216,234,156,2759,3,32
"1266",2860,315,12,309,80,3984,188,230,182,5643,1,29
"1267",3214,120,12,607,39,4033,240,230,118,2819,1,23
"1268",3263,49,25,323,109,3995,220,176,76,3362,1,39
"1269",3138,51,19,108,34,2837,226,197,98,1381,3,23
"1270",3221,79,9,90,16,3034,232,224,124,2356,1,29
"1271",3292,156,8,351,34,1179,230,241,144,1934,1,22
"1272",3178,333,7,182,3,655,205,232,166,1300,3,23
"1273",3225,352,18,277,52,1369,186,206,157,700,3,24
"1274",2738,56,22,120,32,153,228,186,80,474,1,30
"1275",3399,173,13,752,5,1358,228,246,147,4066,2,33
"1276",3214,257,13,510,104,1265,190,247,195,2652,3,31
"1277",3013,60,28,335,68,1744,229,171,0,3376,3,33
"1278",3221,18,2,134,-8,4588,217,234,154,752,1,38
"1279",3173,225,0,90,0,5093,218,238,157,2639,1,19
"1280",3167,193,11,108,8,2094,219,249,163,658,3,31
"1281",3071,271,9,60,7,977,196,243,187,1802,2,24
"1282",2821,15,11,90,11,2292,210,217,143,2793,1,29
"1283",3265,140,19,67,6,4452,245,231,107,2228,1,38
"1284",3079,282,13,268,3,3645,182,240,198,1566,3,22
"1285",3111,171,9,30,0,1687,226,244,150,2375,3,23
"1286",3285,36,13,671,209,700,219,211,125,890,1,22
"1287",3153,355,22,458,21,1358,179,196,151,2195,3,24
"1288",2902,57,19,313,114,2090,230,197,94,2242,3,33
"1289",3042,317,27,360,-61,1200,140,205,200,2912,1,29
"1290",2888,315,21,150,18,1624,160,218,196,1214,1,29
"1291",3157,45,10,127,6,1699,223,218,129,4502,2,22
"1292",3185,63,3,484,112,4697,222,233,146,1690,1,29
"1293",3246,318,14,134,28,4266,184,227,183,1931,3,22
"1294",3211,150,17,295,62,1291,239,237,122,1784,2,23
"1295",3054,3,25,124,36,5010,178,183,136,1972,1,29
"1296",3407,233,10,636,156,3529,204,249,182,350,3,38
"1297",3291,214,10,390,67,3371,211,250,174,1931,1,29
"1298",3054,339,7,443,57,2844,204,230,164,830,3,32
"1299",3009,45,6,60,4,5303,222,227,141,2329,1,23
"1300",3346,164,14,30,7,1549,232,243,139,3381,2,38
"1301",2881,301,14,30,9,3031,181,233,192,1766,1,29
"1302",3047,252,13,283,50,3378,192,248,195,1657,3,13
"1303",3180,113,18,577,244,1687,248,219,94,2848,3,33
"1304",2698,37,5,342,0,691,220,229,145,1879,1,12
"1305",3305,172,12,190,38,1782,228,246,148,3020,1,22
"1306",3271,83,13,543,-13,1401,238,217,108,2065,1,38
"1307",2928,140,4,0,0,2170,226,238,147,3066,3,23
"1308",2713,36,19,150,20,228,215,194,107,319,1,20
"1309",3297,316,13,525,158,2461,184,228,183,134,3,33
"1310",3424,95,8,684,145,2138,234,228,126,1561,1,40
"1311",3278,279,6,42,2,5575,204,241,176,708,1,38
"1312",3250,70,9,150,-3,2979,230,223,125,1922,3,31
"1313",3221,246,9,390,22,418,203,247,182,1100,2,23
"1314",3106,100,14,201,42,3120,243,219,102,3136,1,30
"1315",3044,53,7,366,23,4146,224,225,135,3510,1,29
"1316",3265,358,7,201,51,1492,209,227,156,2844,1,30
"1317",3131,62,5,190,-1,600,224,230,142,2436,2,18
"1318",3137,208,4,272,25,1486,217,243,162,2279,3,23
"1319",3024,237,8,335,92,5881,206,247,179,1770,1,29
"1320",3367,206,9,201,32,3060,215,249,169,1885,3,32
"1321",3208,12,8,655,21,1879,212,224,149,418,3,23
"1322",3375,209,10,497,107,3381,213,249,171,150,3,31
"1323",3143,37,12,0,0,1489,219,214,128,2430,1,29
"1324",3015,327,14,150,16,2643,184,223,178,2182,3,24
"1325",3228,180,9,242,37,3510,224,246,155,3289,1,30
"1326",3130,349,6,234,43,5175,209,230,159,446,1,29
"1327",2991,193,15,134,26,1302,217,251,163,503,3,13
"1328",3303,331,15,150,47,3111,184,221,176,2445,3,24
"1329",2982,75,7,60,-7,2783,228,228,133,1756,3,22
"1330",2953,51,25,540,183,1824,222,176,74,2100,3,33
"1331",3358,102,14,162,32,1362,242,221,105,1666,3,39
"1332",3242,80,11,67,14,1624,234,221,118,792,3,31
"1333",2962,352,13,240,20,3444,198,218,158,6481,1,20
"1334",3300,343,13,150,45,3180,193,219,165,2221,1,29
"1335",3233,311,9,417,50,847,195,234,179,600,2,23
"1336",3049,339,11,30,-2,3354,197,225,166,2768,3,23
"1337",3304,320,17,582,127,684,173,221,187,418,2,33
"1338",2760,297,8,30,-5,3879,198,238,179,1003,1,23
"1339",3007,183,15,218,32,1653,223,249,155,3590,1,22
"1340",3240,45,8,0,0,6165,223,223,135,295,1,22
"1341",2922,5,28,85,25,319,173,174,128,2213,1,29
"1342",2921,46,16,30,3,2683,223,202,108,1950,3,33
"1343",3188,108,5,124,13,3406,228,234,141,4645,1,29
"1344",3117,338,3,90,3,900,214,235,160,1694,1,22
"1345",3296,55,6,175,26,6215,224,227,139,424,1,38
"1346",2938,216,6,272,17,1998,214,246,168,1869,3,32
"1347",3338,36,13,150,25,2105,219,211,125,2145,2,38
"1348",3161,327,27,201,86,4147,143,197,187,900,1,29
"1349",2785,20,12,60,3,1071,212,215,139,3097,3,20
"1350",3097,15,10,67,2,5040,211,219,144,2255,1,23
"1351",3152,336,6,497,5,2774,206,231,164,339,3,32
"1352",3244,64,10,390,79,3254,230,219,122,2096,3,31
"1353",3101,151,2,379,24,2583,222,239,152,1943,3,32
"1354",3280,160,15,433,108,3444,234,242,135,671,3,32
"1355",3046,34,14,488,75,2192,217,210,125,2389,3,24
"1356",3389,90,8,726,199,1277,232,228,129,891,2,31
"1357",3111,254,13,277,35,3009,190,248,196,1421,3,13
"1358",3137,64,14,376,18,2173,232,210,107,2363,1,29
"1359",3183,15,5,499,72,1024,216,230,152,2350,3,31
"1360",3024,0,12,150,0,3231,203,218,152,5500,1,20
"1361",3030,24,23,108,40,2460,201,184,111,1087,3,22
"1362",3161,105,18,277,70,5190,248,214,88,1524,1,29
"1363",3080,90,4,285,46,3795,226,233,141,2850,1,29
"1364",2871,130,8,283,28,3102,234,236,134,2557,1,12
"1365",2991,353,17,268,-40,960,188,207,155,2076,3,32
"1366",3162,31,24,582,-20,1984,205,179,99,1920,3,33
"1367",3027,320,7,42,5,3202,201,233,171,301,1,23
"1368",3105,301,18,190,-17,3328,168,229,201,2191,1,23
"1369",3057,104,10,510,53,5708,238,227,119,4052,1,29
"1370",3005,154,12,324,55,350,234,241,136,1426,1,23
"1371",3293,2,9,671,32,3822,208,224,153,3799,1,29
"1372",3021,334,15,85,-8,2520,185,219,173,1476,3,33
"1373",3313,225,24,511,166,1400,180,254,202,4205,2,32
"1374",3188,163,10,480,13,3880,230,243,145,4257,1,29
"1375",3201,289,29,190,-34,3267,127,222,229,2135,1,29
"1376",3191,0,12,592,173,4536,202,217,152,2195,1,29
"1377",2775,324,9,180,41,1434,198,231,172,1738,1,12
"1378",3185,285,19,210,75,153,163,236,211,571,2,22
"1379",3341,151,10,376,141,2894,233,240,138,595,3,32
"1380",3208,320,17,713,35,1939,174,221,186,484,3,23
"1381",2926,20,30,228,70,228,184,162,100,1784,1,30
"1382",3266,41,5,60,-1,1019,221,228,143,2242,1,38
"1383",3247,25,22,218,89,4859,203,187,112,1561,1,29
"1384",3230,40,8,190,2,1879,221,222,136,908,3,31
"1385",2867,306,16,42,6,1530,174,229,195,1337,1,29
"1386",3226,287,9,402,42,283,195,240,185,1879,2,23
"1387",3010,133,8,30,-2,2962,233,236,135,1566,3,22
"1388",2994,270,7,228,16,2856,203,242,179,595,3,32
"1389",3100,243,20,297,73,1140,177,252,208,2784,3,33
"1390",3054,37,14,90,-6,1209,219,207,121,1173,1,29
"1391",3038,131,10,430,66,2457,236,235,129,2331,3,32
"1392",3043,141,3,457,21,4698,224,238,150,1201,1,29
"1393",3056,332,8,283,34,2151,201,230,168,1359,1,23
"1394",2995,130,11,228,40,3209,238,234,124,6319,1,29
"1395",3166,18,12,430,42,1996,211,215,139,2644,3,24
"1396",3147,164,6,170,5,1027,226,242,150,2094,1,22
"1397",2990,354,10,0,0,1976,204,223,157,3513,1,23
"1398",2921,26,12,201,19,726,214,214,134,1928,3,33
"1399",3006,20,18,361,147,1507,205,199,126,3132,3,24
"1400",3065,337,34,306,69,400,127,173,172,2068,1,30
"1401",2848,74,6,30,-4,2728,228,228,135,2422,1,30
"1402",3175,338,3,60,2,488,214,235,160,1209,2,23
"1403",2978,82,5,277,50,4821,227,231,138,4447,1,29
"1404",3019,47,10,600,98,1492,224,217,127,459,3,31
"1405",3142,302,9,0,0,618,196,236,180,2142,2,23
"1406",2947,63,13,67,17,5544,231,213,112,1648,1,30
"1407",3339,187,10,384,60,3491,221,247,159,1466,3,32
"1408",2929,135,4,85,15,997,226,238,147,2233,1,23
"1409",3426,310,19,469,80,4992,164,223,198,658,1,40
"1410",3247,240,16,576,51,480,189,252,198,1637,2,23
"1411",3113,115,10,255,69,3262,237,231,124,2999,1,30
"1412",3319,158,9,618,-2,616,231,242,143,4401,2,25
"1413",3261,353,14,513,9,4418,195,214,156,845,3,32
"1414",3138,24,16,426,80,4919,210,204,127,2940,1,30
"1415",2969,31,10,256,-26,840,218,219,136,2021,3,32
"1416",2955,300,16,67,16,2250,175,232,197,2230,3,23
"1417",3176,233,2,210,23,1463,215,241,163,228,3,23
"1418",3288,135,8,960,172,2345,233,237,136,2305,3,31
"1419",3236,45,1,616,57,4577,219,235,153,2616,1,38
"1420",3102,98,10,247,47,595,237,225,118,1482,3,32
"1421",3076,40,8,30,2,745,221,223,137,1660,1,23
"1422",3187,295,11,42,2,1216,190,237,187,1126,2,40
"1423",3093,112,17,60,-7,2813,247,219,94,3856,1,22
"1424",3062,105,10,42,2,2673,237,228,120,3704,1,22
"1425",3240,114,8,420,53,2049,235,232,129,1786,3,32
"1426",3247,279,9,190,19,1560,195,242,186,726,3,31
"1427",3127,331,12,534,-19,2828,192,225,172,450,3,32
"1428",3153,30,18,192,45,4235,212,198,117,3612,1,22
"1429",3225,333,2,306,4,5775,214,236,160,1848,1,22
"1430",3064,359,13,67,19,2816,199,215,152,2210,3,23
"1431",3427,121,16,417,-37,2058,246,225,103,2832,2,39
"1432",3227,200,16,192,25,3634,212,252,170,2920,1,22
"1433",3089,215,10,457,0,2586,210,250,174,973,3,32
"1434",3198,121,27,300,50,3747,253,207,63,420,3,33
"1435",3242,108,12,30,-4,4420,240,226,115,2143,1,38
"1436",3437,315,3,391,42,2735,212,237,163,1973,3,38
"1437",3429,213,16,150,2,2036,204,253,181,3469,2,32
"1438",2815,29,16,417,102,2644,213,204,123,175,3,10
"1439",2943,130,4,0,0,2120,226,237,146,3088,3,17
"1440",3218,307,16,120,7,1158,175,229,194,2582,3,23
"1441",3202,147,11,212,36,488,235,239,133,2170,2,13
"1442",3304,132,16,492,81,3097,245,229,108,2821,3,32
"1443",3105,198,4,85,4,1731,218,243,161,2356,3,23
"1444",3183,72,13,85,10,2640,234,215,111,1648,3,31
"1445",3244,40,12,731,53,2940,221,214,126,3688,1,40
"1446",2542,349,6,247,18,2525,209,230,159,2526,3,11
"1447",3224,39,14,509,13,2165,220,209,121,1095,3,31
"1448",3008,36,15,42,4,4002,218,205,119,2465,1,24
"1449",2922,233,7,268,26,5733,208,247,176,5920,1,16
"1450",3016,73,7,153,27,2912,229,226,131,700,1,29
"1451",2945,44,23,170,36,4586,218,183,88,4589,1,29
"1452",2873,1,11,335,36,1036,205,220,152,2761,3,32
"1453",2997,6,19,85,20,2370,193,199,140,1168,3,22
"1454",3165,180,8,95,-9,3532,223,245,155,4650,1,29
"1455",3140,9,17,108,20,4178,199,204,139,1643,1,38
"1456",3221,140,12,127,34,4451,237,236,128,3531,3,22
"1457",3060,310,15,212,1,2039,179,229,190,1642,1,30
"1458",3109,349,2,631,55,2335,215,235,158,2252,3,32
"1459",3062,135,6,60,2,655,230,237,141,1495,1,23
"1460",3212,54,2,30,1,5340,220,234,150,805,1,22
"1461",3268,329,11,134,42,1458,194,227,173,577,1,38
"1462",3221,76,4,400,30,3254,225,232,143,3714,1,23
"1463",3112,343,9,190,-8,2414,202,227,163,2311,3,32
"1464",3460,154,6,466,7,1524,227,241,147,3769,2,35
"1465",3051,288,3,0,0,834,211,239,166,1678,3,22
"1466",2746,30,21,124,-46,108,208,190,110,417,1,30
"1467",3047,244,18,376,131,3055,181,251,205,2107,3,23
"1468",2614,97,21,0,0,1429,249,204,73,1008,3,33
"1469",3145,155,17,190,67,124,237,239,126,2864,2,32
"1470",3125,288,16,371,1,3744,174,237,203,1465,3,22
"1471",3248,75,10,234,39,5346,233,221,120,384,1,22
"1472",3133,270,17,324,47,1149,174,244,208,2706,3,33
"1473",2741,151,11,0,0,3704,234,240,136,1256,1,23
"1474",2978,117,4,30,0,335,227,236,143,859,1,23
"1475",3277,134,17,360,-1,3948,244,230,109,1914,3,33
"1476",3087,25,15,764,228,1987,211,205,127,3046,3,31
"1477",3247,149,13,417,68,3900,237,239,129,830,3,33
"1478",2805,48,7,0,0,1190,223,225,138,2971,3,23
"1479",2849,28,18,212,36,3048,209,197,118,2281,3,33
"1480",3129,35,20,240,91,3531,213,191,106,1560,3,31
"1481",3177,194,6,95,6,2844,219,245,161,1183,3,23
"1482",3399,218,18,190,41,1931,198,254,187,3672,2,32
"1483",3116,103,26,417,180,1740,252,197,56,2837,3,33
"1484",3148,271,19,124,15,3911,166,242,214,1290,3,39
"1485",3068,314,15,404,-3,2452,178,227,188,1036,1,29
"1486",3176,342,6,30,4,4525,208,231,162,1790,1,23
"1487",2709,62,13,85,-1,1434,230,214,114,552,3,31
"1488",3161,0,6,514,23,5591,211,228,155,579,1,29
"1489",3200,91,17,30,-7,1381,244,210,89,2589,1,22
"1490",2939,90,4,90,-12,3515,226,233,141,6333,1,20
"1491",3231,127,2,335,27,5464,223,237,150,1266,1,29
"1492",3265,328,12,60,9,5678,190,226,175,787,1,22
"1493",3016,255,11,42,13,1863,195,247,190,1401,3,23
"1494",3054,321,15,153,24,2568,180,224,183,2920,1,22
"1495",3155,71,12,127,32,5114,233,216,113,1237,1,29
"1496",3325,42,28,180,91,4476,211,167,74,752,1,29
"1497",3111,337,25,384,111,543,156,196,174,1921,3,22
